country,country_code,year,inflation
Afghanistan,AFG,2016,4.38389195513915
Afghanistan,AFG,2017,4.97595150553833
Afghanistan,AFG,2018,0.626149149168847
Afghanistan,AFG,2019,2.30237251516834
Afghanistan,AFG,2020,5.60188791482224
Afghanistan,AFG,2021,5.13320340824963
Afghanistan,AFG,2022,13.7121023720065
Afghanistan,AFG,2023,-4.64470870797775
Afghanistan,AFG,2024,-6.60118564073726
Africa Eastern and Southern,AFE,2016,6.44687722255584
Africa Eastern and Southern,AFE,2017,6.22137528933118
Africa Eastern and Southern,AFE,2018,4.6898064677633
Africa Eastern and Southern,AFE,2019,4.10285075461156
Africa Eastern and Southern,AFE,2020,5.19162942092851
Africa Eastern and Southern,AFE,2021,6.82472709282067
Africa Eastern and Southern,AFE,2022,10.8834775726018
Africa Eastern and Southern,AFE,2023,7.39918558080627
Africa Eastern and Southern,AFE,2024,4.77085731915833
Africa Eastern and Southern,AFE,2025,4.27011140706666
Africa Western and Central,AFW,2016,1.48741550755546
Africa Western and Central,AFW,2017,1.72548602374731
Africa Western and Central,AFW,2018,1.78404994832044
Africa Western and Central,AFW,2019,1.98309228487232
Africa Western and Central,AFW,2020,2.49037783931949
Africa Western and Central,AFW,2021,3.74556782333009
Africa Western and Central,AFW,2022,7.94925143524016
Africa Western and Central,AFW,2023,5.22116801324002
Africa Western and Central,AFW,2024,3.60804426950566
Africa Western and Central,AFW,2025,1.65781767585277
Albania,ALB,2016,1.27543168367423
Albania,ALB,2017,1.98666133171194
Albania,ALB,2018,2.02805963071135
Albania,ALB,2019,1.41109078954242
Albania,ALB,2020,1.62088661717021
Albania,ALB,2021,2.04147163139545
Albania,ALB,2022,6.72520271530059
Albania,ALB,2023,4.75834555150038
Albania,ALB,2024,2.21587375089992
Albania,ALB,2025,2.14618551167388
Algeria,DZA,2016,6.39769480268757
Algeria,DZA,2017,5.59111590961664
Algeria,DZA,2018,4.26999020467084
Algeria,DZA,2019,1.95176821052892
Algeria,DZA,2020,2.41513094083414
Algeria,DZA,2021,7.22606307415477
Algeria,DZA,2022,9.26551551551553
Algeria,DZA,2023,9.32217375928322
Algeria,DZA,2024,4.04611455313434
Algeria,DZA,2025,1.41835151429016
Angola,AGO,2016,30.6944150806719
Angola,AGO,2017,29.8444799015679
Angola,AGO,2018,19.6289379701521
Angola,AGO,2019,17.080954143438
Angola,AGO,2020,22.271539247051
Angola,AGO,2021,25.7542948841891
Angola,AGO,2022,21.3552901320822
Angola,AGO,2023,13.6441017767715
Angola,AGO,2024,28.2404948915772
Angola,AGO,2025,20.1620197572331
Antigua and Barbuda,ATG,2016,-0.489437796230499
Antigua and Barbuda,ATG,2017,2.43248789041363
Antigua and Barbuda,ATG,2018,1.20715793367008
Antigua and Barbuda,ATG,2019,1.43135598182984
Antigua and Barbuda,ATG,2020,0.625989707046719
Antigua and Barbuda,ATG,2021,2.06299638545334
Antigua and Barbuda,ATG,2022,7.53107834634288
Antigua and Barbuda,ATG,2023,5.06713865364213
Antigua and Barbuda,ATG,2024,6.19886698842116
Antigua and Barbuda,ATG,2025,1.36873527521954
Arab World,ARB,2016,2.22799991129428
Arab World,ARB,2017,2.06932928164424
Arab World,ARB,2018,2.30874696703938
Arab World,ARB,2019,1.33601568147656
Arab World,ARB,2020,1.44703656998741
Arab World,ARB,2021,2.86833027751015
Arab World,ARB,2022,5.17222088647606
Arab World,ARB,2023,4.00025877060152
Arab World,ARB,2024,2.30890057183497
Arab World,ARB,2025,1.76646490894206
Argentina,ARG,2018,34.2772237131003
Argentina,ARG,2019,53.5483043492339
Argentina,ARG,2020,42.0150947376509
Argentina,ARG,2021,48.4093786255199
Argentina,ARG,2022,72.430757531824
Argentina,ARG,2023,133.488935594175
Argentina,ARG,2024,219.883929014578
Armenia,ARM,2016,-1.403607559009
Armenia,ARM,2017,0.969553268816138
Armenia,ARM,2018,2.52023382001638
Armenia,ARM,2019,1.44344660770698
Armenia,ARM,2020,1.21143577838465
Armenia,ARM,2021,7.18483629443371
Armenia,ARM,2022,8.64091108973855
Armenia,ARM,2023,1.98041877615554
Armenia,ARM,2024,0.269511978259125
Armenia,ARM,2025,3.30693341072904
Aruba,ABW,2016,-0.93119598707956
Aruba,ABW,2017,-1.02828178762012
Aruba,ABW,2018,3.6260414135296
