year,month,price_usd_per_metric_ton
2016,Jan,122.6
2016,Feb,114.5
2016,Mar,114.5
2016,Apr,114.13
2016,May,110.5
2016,Jun,110.5
2016,Jul,110.5
2016,Aug,109.75
2016,Sep,109.0
2016,Oct,109.0
2016,Nov,103.0
2016,Dec,97.5
2017,Jan,96.88
2017,Feb,95.0
2017,Mar,97.5
2017,Apr,95.63
2017,May,92.5
2017,Jun,92.5
2017,Jul,92.5
2017,Aug,88.75
2017,Sep,85.0
2017,Oct,80.0
2017,Nov,80.0
2017,Dec,80.0
2018,Jan,80.0
2018,Feb,82.5
2018,Mar,84.7
2018,Apr,88.0
2018,May,88.0
2018,Jun,86.8
2018,Jul,86.88
2018,Aug,87.5
2018,Sep,87.5
2018,Oct,91.25
2018,Nov,92.5
2018,Dec,99.17
2019,Jan,102.5
2019,Feb,102.5
2019,Mar,98.5
2019,Apr,97.5
2019,May,97.5
2019,Jun,97.5
2019,Jul,80.0
2019,Aug,78.0
2019,Sep,77.5
2019,Oct,77.5
2019,Nov,74.0
2019,Dec,72.5
2020,Jan,72.5
2020,Feb,72.5
2020,Mar,71.88
2020,Apr,70.75
2020,May,72.9
2020,Jun,75.0
2020,Jul,75.0
2020,Aug,76.88
2020,Sep,79.38
2020,Oct,80.0
2020,Nov,82.5
2020,Dec,83.33
2021,Jan,85.0
2021,Feb,88.13
2021,Mar,96.25
2021,Apr,95.0
2021,May,102.5
2021,Jun,125.0
2021,Jul,125.0
2021,Aug,136.88
2021,Sep,147.5
2021,Oct,147.5
2021,Nov,153.13
2021,Dec,176.67
2022,Jan,173.13
2022,Feb,172.5
2022,Mar,178.75
2022,Apr,249.5
2022,May,255.0
2022,Jun,287.5
2022,Jul,320.0
2022,Aug,320.0
2022,Sep,320.0
2022,Oct,317.5
2022,Nov,300.0
2022,Dec,300.0
2023,Jan,300.0
2023,Feb,322.5
2023,Mar,345.0
2023,Apr,345.0
2023,May,345.0
2023,Jun,344.5
2023,Jul,342.5
2023,Aug,346.25
2023,Sep,347.5
2023,Oct,347.5
2023,Dec,152.5
2024,Jan,152.5
2024,Feb,152.5
2024,Mar,152.5
2024,Apr,152.5
2024,May,152.5
2024,Jun,152.5
2024,Jul,152.5
2024,Aug,152.5
2024,Sep,152.5
2024,Oct,152.5
2024,Nov,152.5
2024,Dec,152.5
2025,Jan,152.5
2025,Feb,152.5
2025,Mar,152.5
2025,Apr,152.5
2025,May,152.5
2025,Jun,152.5
2025,Jul,152.5
2025,Aug,152.5
2025,Sep,152.5
2025,Oct,152.5
2025,Nov,152.5
2025,Dec,152.5
2026,Jan,152.5
2026,Feb,152.5
2026,Mar,152.5
