DATE,YEAR,MONTH_NUMBER,FORECAST_PRICE_USD,LOWER_95,UPPER_95
2026-04-01,2026,4,152.5,125.13,179.87
2026-05-01,2026,5,152.5,103.55,201.45
2026-06-01,2026,6,152.5,87.64,217.36
2026-07-01,2026,7,152.5,74.02,230.98
2026-08-01,2026,8,152.5,61.84,243.16
2026-09-01,2026,9,152.5,50.72,254.28
2026-10-01,2026,10,152.5,40.42,264.58
2026-11-01,2026,11,152.5,30.81,274.19
2026-12-01,2026,12,152.5,21.77,283.23
2027-01-01,2027,1,152.5,13.22,291.77
2027-02-01,2027,2,152.5,5.11,299.89
2027-03-01,2027,3,152.5,-2.62,307.62
2027-04-01,2027,4,152.5,-10.02,315.02
2027-05-01,2027,5,152.5,-17.12,322.12
2027-06-01,2027,6,152.5,-23.95,328.95
2027-07-01,2027,7,152.5,-30.54,335.54
2027-08-01,2027,8,152.5,-36.91,341.9
2027-09-01,2027,9,152.5,-43.07,348.07
2027-10-01,2027,10,152.5,-49.05,354.05
2027-11-01,2027,11,152.5,-54.86,359.86
2027-12-01,2027,12,152.5,-60.52,365.52
2028-01-01,2028,1,152.5,-66.03,371.03
2028-02-01,2028,2,152.5,-71.4,376.4
2028-03-01,2028,3,152.5,-76.66,381.65
2028-04-01,2028,4,152.5,-81.79,386.79
2028-05-01,2028,5,152.5,-86.81,391.81
2028-06-01,2028,6,152.5,-91.73,396.73
2028-07-01,2028,7,152.5,-96.56,401.56
2028-08-01,2028,8,152.5,-101.29,406.29
2028-09-01,2028,9,152.5,-105.94,410.94
2028-10-01,2028,10,152.5,-110.5,415.5
2028-11-01,2028,11,152.5,-114.99,419.99
2028-12-01,2028,12,152.5,-119.4,424.4
2029-01-01,2029,1,152.5,-123.74,428.74
2029-02-01,2029,2,152.5,-128.02,433.01
2029-03-01,2029,3,152.5,-132.23,437.22
2029-04-01,2029,4,152.5,-136.38,441.37
2029-05-01,2029,5,152.5,-140.47,445.46
2029-06-01,2029,6,152.5,-144.5,449.5
2029-07-01,2029,7,152.5,-148.48,453.48
2029-08-01,2029,8,152.5,-152.41,457.41
2029-09-01,2029,9,152.5,-156.29,461.28
2029-10-01,2029,10,152.5,-160.12,465.11
2029-11-01,2029,11,152.5,-163.9,468.9
2029-12-01,2029,12,152.5,-167.64,472.64
2030-01-01,2030,1,152.5,-171.33,476.33
2030-02-01,2030,2,152.5,-174.99,479.99
2030-03-01,2030,3,152.5,-178.6,483.6
2030-04-01,2030,4,152.5,-182.18,487.18
2030-05-01,2030,5,152.5,-185.71,490.71
2030-06-01,2030,6,152.5,-189.21,494.21
2030-07-01,2030,7,152.5,-192.68,497.68
2030-08-01,2030,8,152.5,-196.11,501.11
2030-09-01,2030,9,152.5,-199.51,504.51
2030-10-01,2030,10,152.5,-202.87,507.87
2030-11-01,2030,11,152.5,-206.2,511.2
2030-12-01,2030,12,152.5,-209.51,514.51
