DATE,YEAR,MONTH_NUMBER,PREDICTED_PRICE_USD
2026-04-01,2026,4,152.48
2026-05-01,2026,5,152.48
2026-06-01,2026,6,152.48
2026-07-01,2026,7,152.48
2026-08-01,2026,8,152.48
2026-09-01,2026,9,152.48
2026-10-01,2026,10,152.52
2026-11-01,2026,11,152.57
2026-12-01,2026,12,152.6
2027-01-01,2027,1,152.51
2027-02-01,2027,2,152.48
2027-03-01,2027,3,152.48
2027-04-01,2027,4,152.48
2027-05-01,2027,5,152.48
2027-06-01,2027,6,152.48
2027-07-01,2027,7,152.48
2027-08-01,2027,8,152.48
2027-09-01,2027,9,152.48
2027-10-01,2027,10,152.52
2027-11-01,2027,11,152.57
2027-12-01,2027,12,152.6
2028-01-01,2028,1,152.51
2028-02-01,2028,2,152.48
2028-03-01,2028,3,152.48
2028-04-01,2028,4,152.48
2028-05-01,2028,5,152.48
2028-06-01,2028,6,152.48
2028-07-01,2028,7,152.48
2028-08-01,2028,8,152.48
2028-09-01,2028,9,152.48
2028-10-01,2028,10,152.52
2028-11-01,2028,11,152.57
2028-12-01,2028,12,152.6
2029-01-01,2029,1,152.51
2029-02-01,2029,2,152.48
2029-03-01,2029,3,152.48
2029-04-01,2029,4,152.48
2029-05-01,2029,5,152.48
2029-06-01,2029,6,152.48
2029-07-01,2029,7,152.48
2029-08-01,2029,8,152.48
2029-09-01,2029,9,152.48
2029-10-01,2029,10,152.52
2029-11-01,2029,11,152.57
2029-12-01,2029,12,152.6
2030-01-01,2030,1,152.51
2030-02-01,2030,2,152.48
2030-03-01,2030,3,152.48
2030-04-01,2030,4,152.48
2030-05-01,2030,5,152.48
2030-06-01,2030,6,152.48
2030-07-01,2030,7,152.48
2030-08-01,2030,8,152.48
2030-09-01,2030,9,152.48
2030-10-01,2030,10,152.52
2030-11-01,2030,11,152.57
2030-12-01,2030,12,152.6
